,name,brand,price,url,image
0,KIDS Raspberry,MEDIBLANC,5.90,https://www.notino.co.uk/mediblanc/kids-rapsberry-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300533123_01-o__220114.jpg
1,Fluoride,Parodontax,5.00,https://www.notino.co.uk/parodontax/fluoride-anti-bleeding-toothpaste/,https://cdn.notinoimg.com/list_2k//parodontax/4047400393048_01-o__221027.jpg
2,Whitening,Parodontax,4.00,https://www.notino.co.uk/parodontax/whitening-whitening-toothpaste-for-bleeding-gums/,https://cdn.notinoimg.com/list_2k//parodontax/5999518582175_01-o__140428.jpg
3,Junior 6-12 Years,Elmex,3.00,https://www.notino.co.uk/elmex/junior-6-12-years-toothpaste-for-children-73188/,https://cdn.notinoimg.com/list_2k//elmex/9003096004991_01-o__140313.jpg
4,Caries Protection,Elmex,3.90,https://www.notino.co.uk/elmex/caries-protection-anti-decay-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg
5,Extra Fresh,Parodontax,4.00,https://www.notino.co.uk/parodontax/extra-fresh-toothpaste-for-bleeding-gums/,https://cdn.notinoimg.com/list_2k//parodontax/3830029294626_01__140428.jpg
6,Gum & Enamel Repair Fresh White,Oral B,2.40,https://www.notino.co.uk/oral-b/gum-enamel-repair-extra-fresh-toothpaste-for-fresh-breath/,https://cdn.notinoimg.com/list_2k//oral-b/8001090794413_01-o__240304.jpg
7,Natural Extracts Ultimate Fresh,Colgate,2.50,https://www.notino.co.uk/colgate/natural-extract-ultimate-fresh-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951131644_01-o__221128.jpg
8,Intensive Stain Removal,BlanX,6.00,https://www.notino.co.uk/blanx/intensive-stain-removal-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8006320054763_01-o__180221.jpg
9,Caries Protection Kids,Elmex,3.00,https://www.notino.co.uk/elmex/caries-protection-kids-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg
10,Sensitive,Elmex,3.80,https://www.notino.co.uk/elmex/sensitive-paste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//elmex/7610108059249_11-o__150518.jpg
11,Sensitive Whitening,Elmex,3.80,https://www.notino.co.uk/elmex/sensitive-whitening-toothpaste-for-naturally-white-teeth-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg
12,Perio Plus+ Support 0.09 CHX,Curaprox,7.90,https://www.notino.co.uk/curaprox/perio-plus-support-009-chx-toothpaste-against-gum-bleeding-and-periodontal-disease/,https://cdn.notinoimg.com/list_2k//curaprox/7612412427288_01-o__191204.jpg
13,Total Protective Repair,Biorepair,4.00,https://www.notino.co.uk/biorepair/total-protective-repair-reinforcing-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331048429_01-o__220811.jpg
14,Teeth,NUK,5.90,https://www.notino.co.uk/nuk/teeth-dental-care-setfor-kids/,https://cdn.notinoimg.com/list_2k//nuk/4008600215769_01__210818.jpg
