,country,name,brand,price,currency,url,image,scraped_at
0,UK,KIDS Raspberry,MEDIBLANC,5.9,£,https://www.notino.co.uk/mediblanc/kids-rapsberry-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300533123_01-o__220114.jpg,2024-06-13 12:43:04
1,UK,Fluoride,Parodontax,5.0,£,https://www.notino.co.uk/parodontax/fluoride-anti-bleeding-toothpaste/,https://cdn.notinoimg.com/list_2k//parodontax/4047400393048_01-o__221027.jpg,2024-06-13 12:43:04
2,UK,Whitening,Parodontax,4.0,£,https://www.notino.co.uk/parodontax/whitening-whitening-toothpaste-for-bleeding-gums/,https://cdn.notinoimg.com/list_2k//parodontax/5999518582175_01-o__140428.jpg,2024-06-13 12:43:04
3,UK,Junior 6-12 Years,Elmex,3.0,£,https://www.notino.co.uk/elmex/junior-6-12-years-toothpaste-for-children-73188/,https://cdn.notinoimg.com/list_2k//elmex/9003096004991_01-o__140313.jpg,2024-06-13 12:43:04
4,UK,Caries Protection,Elmex,3.9,£,https://www.notino.co.uk/elmex/caries-protection-anti-decay-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//elmex/4007965560002_11-o__140311.jpg,2024-06-13 12:43:04
5,UK,Extra Fresh,Parodontax,4.0,£,https://www.notino.co.uk/parodontax/extra-fresh-toothpaste-for-bleeding-gums/,https://cdn.notinoimg.com/list_2k//parodontax/3830029294626_01__140428.jpg,2024-06-13 12:43:04
6,UK,Gum & Enamel Repair Fresh White,Oral B,2.4,£,https://www.notino.co.uk/oral-b/gum-enamel-repair-extra-fresh-toothpaste-for-fresh-breath/,https://cdn.notinoimg.com/list_2k//oral-b/8001090794413_01-o__240304.jpg,2024-06-13 12:43:04
7,UK,Natural Extracts Ultimate Fresh,Colgate,2.5,£,https://www.notino.co.uk/colgate/natural-extract-ultimate-fresh-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/8718951131644_01-o__221128.jpg,2024-06-13 12:43:04
8,UK,Intensive Stain Removal,BlanX,6.0,£,https://www.notino.co.uk/blanx/intensive-stain-removal-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//blanx/8006320054763_01-o__180221.jpg,2024-06-13 12:43:04
9,UK,Caries Protection Kids,Elmex,3.0,£,https://www.notino.co.uk/elmex/caries-protection-kids-toothpaste-for-children/,https://cdn.notinoimg.com/list_2k//elmex/7610108056354_01-o__230215.jpg,2024-06-13 12:43:04
10,UK,Sensitive,Elmex,3.8,£,https://www.notino.co.uk/elmex/sensitive-paste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//elmex/7610108059249_11-o__150518.jpg,2024-06-13 12:43:04
11,UK,Sensitive Whitening,Elmex,3.8,£,https://www.notino.co.uk/elmex/sensitive-whitening-toothpaste-for-naturally-white-teeth-73519/,https://cdn.notinoimg.com/list_2k//elmex/8714789899299_01-o__140528.jpg,2024-06-13 12:43:04
12,UK,Perio Plus+ Support 0.09 CHX,Curaprox,7.9,£,https://www.notino.co.uk/curaprox/perio-plus-support-009-chx-toothpaste-against-gum-bleeding-and-periodontal-disease/,https://cdn.notinoimg.com/list_2k//curaprox/7612412427288_01-o__191204.jpg,2024-06-13 12:43:04
13,UK,Total Protective Repair,Biorepair,4.0,£,https://www.notino.co.uk/biorepair/total-protective-repair-reinforcing-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/8017331048429_01-o__220811.jpg,2024-06-13 12:43:04
14,UK,Teeth,NUK,5.9,£,https://www.notino.co.uk/nuk/teeth-dental-care-setfor-kids/,https://cdn.notinoimg.com/list_2k//nuk/4008600215769_01__210818.jpg,2024-06-13 12:43:04
15,UK,Classic,Parodontax,3.9,£,https://www.notino.co.uk/parodontax/classic-anti-bleeding-toothpaste-without-fluoride/,https://cdn.notinoimg.com/list_2k//parodontax/4047400392041_01-o__140428.jpg,2024-06-13 12:43:04
16,UK,Glo Professional White,White Glo,5.3,£,https://www.notino.co.uk/white-glo/charcoal-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//white-glo/9319871002152_01-o__231109.jpg,2024-06-13 12:43:04
17,UK,Propolis Healthy Gums,Colgate,1.2,£,https://www.notino.co.uk/colgate/propolis-healthy-gums-sensitive-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/6920354836039_01-o__230510.jpg,2024-06-13 12:43:04
18,UK,Plus Sensitive Teeth,Biorepair,4.7,£,https://www.notino.co.uk/biorepair/plus-sensitive-tooth-enamel-restoring-toothpaste-for-sensitive-teeth/,https://cdn.notinoimg.com/list_2k//biorepair/brpdsbw_ktps10_01__170410.jpg,2024-06-13 12:43:04
19,UK,Whitening,Opalescence,3.3,£,https://www.notino.co.uk/opalescence/original-formula-whitening-toothpaste-with-fluoride/,https://cdn.notinoimg.com/list_2k//opalescence/883205029492_01-o__160127.jpg,2024-06-13 12:43:04
20,UK,Kids 0-6,Biorepair,2.7,£,https://www.notino.co.uk/biorepair/junior-toothpaste-for-kids/,https://cdn.notinoimg.com/list_2k//biorepair/8017331035634_01-o__130828.jpg,2024-06-13 12:43:04
21,UK,Sensitivity & Gum,Sensodyne,4.8,£,https://www.notino.co.uk/sensodyne/sensitivity-gum-sensitive-toothpaste-577854/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563157904_01-o__240514.jpg,2024-06-13 12:43:04
22,UK,Protect 7 Extra Fresh,Blend-a-med,1.3,£,https://www.notino.co.uk/blend-a-med/protect-7-extra-fresh-toothpaste-for-fresh-breath/,https://cdn.notinoimg.com/list_2k//blend-a-med/8001090717757_01-o__230221.jpg,2024-06-13 12:43:04
23,UK,Whitening Herbal,MEDIBLANC,8.7,£,https://www.notino.co.uk/mediblanc/whitening-herbal-herbal-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//mediblanc/8059300538166-o__221027.jpg,2024-06-13 12:43:04
